%time;field.yaw_measurement;field.distance_wall
1.6438E+18;-5.22472E+11;6.48738E+11
1.6438E+18;-5.22472E+11;6.48771E+11
1.6438E+18;-5.22472E+11;64861869812
1.6438E+18;-5.22472E+11;6.48696E+11
1.6438E+18;-5.22472E+11;6485683918
1.6438E+18;-5.22472E+11;6.48409E+11
1.6438E+18;-5.22472E+11;6.48515E+11
1.6438E+18;-5.22472E+11;6.48397E+11
1.6438E+18;-5.22472E+11;6.48502E+11
1.6438E+18;-5.22472E+11;6.48437E+11
1.6438E+18;-5.22472E+11;6.48346E+11
1.6438E+18;-5.22472E+11;6.48465E+11
1.6438E+18;-5.22472E+11;6.48396E+11
1.6438E+18;-5.22472E+11;6.48522E+11
1.6438E+18;-5.22472E+11;6.48465E+11
1.6438E+18;-5.22472E+11;6.48361E+11
1.6438E+18;-5.22472E+11;6.48619E+11
1.6438E+18;-5.22472E+11;6.48536E+11
1.6438E+18;-5.22472E+11;6.48662E+11
1.6438E+18;-5.22472E+11;6.48572E+11
1.6438E+18;-5.22472E+11;6.48428E+11
1.6438E+18;-5.22472E+11;6.48559E+11
1.6438E+18;-5.22472E+11;64842338562
1.6438E+18;-5.22472E+11;6.48397E+11
1.6438E+18;-5.22472E+11;6.48259E+11
1.6438E+18;-5.22472E+11;6.48099E+11
1.6438E+18;-5.22472E+11;6.48317E+11
1.6438E+18;-5.22472E+11;6.48223E+11
1.6438E+18;-5.22472E+11;6.48548E+11
1.6438E+18;-5.22472E+11;6.48549E+11
1.6438E+18;-5.22472E+11;6.48519E+11
1.6438E+18;-5.22472E+11;6.48749E+11
1.6438E+18;-5.22472E+11;6.48754E+11
1.6438E+18;-5.22472E+11;6.48941E+11
1.6438E+18;-5.22472E+11;6.48951E+11
1.6438E+18;-5.22472E+11;6.48919E+11
1.6438E+18;-5.22472E+11;6.49242E+11
1.6438E+18;-5.22472E+11;6.49221E+11
1.6438E+18;-5.22472E+11;6.49373E+11
1.6438E+18;-5.22472E+11;64933681488
1.6438E+18;-5.22472E+11;6.4925E+11
1.6438E+18;-5.22472E+11;6.49392E+11
1.6438E+18;-5.22472E+11;6.49307E+11
1.6438E+18;-5.22472E+11;6.49492E+11
1.6438E+18;-5.3748E+11;6.58006E+11
1.6438E+18;-5.3748E+11;6.57888E+11
1.6438E+18;-5.3748E+11;6.58072E+11
1.6438E+18;-5.3748E+11;6.57982E+11
1.6438E+18;-5.3748E+11;6.58075E+11
1.6438E+18;-5.3748E+11;6.58004E+11
1.6438E+18;-5.3748E+11;6.579E+11
1.6438E+18;-5.3748E+11;6.58001E+11
1.6438E+18;-5.3748E+11;6.57917E+11
1.6438E+18;-5.3748E+11;6.58043E+11
1.6438E+18;-5.3748E+11;6.57989E+11
1.6438E+18;-5.3748E+11;6.57899E+11
1.6438E+18;-5.3748E+11;6.58103E+11
1.6438E+18;-5.3748E+11;65804476738
1.6438E+18;-5.3748E+11;6.58176E+11
1.6438E+18;-5.3748E+11;6.58137E+11
1.6438E+18;-5.3748E+11;6.58057E+11
1.6438E+18;-5.3748E+11;6.58258E+11
1.6438E+18;-5.3748E+11;6.58202E+11
1.6438E+18;-5.3748E+11;6.58228E+11
1.6438E+18;-5.3748E+11;6.58151E+11
1.6438E+18;-5.3748E+11;6.58032E+11
1.6438E+18;-5.3748E+11;6.58136E+11
1.6438E+18;-5.3748E+11;6.58031E+11
1.6438E+18;-5.3748E+11;65808801651
1.6438E+18;-5.3748E+11;6.57993E+11
1.6438E+18;-5.3748E+11;6.57863E+11
1.6438E+18;-5.3748E+11;6.57999E+11
1.6438E+18;-5.3748E+11;6.57912E+11
1.6438E+18;-5.3748E+11;6.58013E+11
1.6438E+18;-5.3748E+11;6.57969E+11
1.6438E+18;-5.3748E+11;6.57891E+11
1.6438E+18;-5.3748E+11;6.57941E+11
1.6438E+18;-5.3748E+11;6.57851E+11
1.6438E+18;-5.3748E+11;65794839859
1.6438E+18;-5.3748E+11;6.57882E+11
1.6438E+18;-5.3748E+11;6.57766E+11
1.6438E+18;-5.3748E+11;6.57827E+11
1.6438E+18;-5.3748E+11;6.57671E+11
1.6438E+18;-5.3748E+11;65770483017
1.6438E+18;-5.3748E+11;6.57562E+11
1.6438E+18;-5.3748E+11;6.57347E+11
1.6438E+18;-5.3748E+11;65714840889
1.6438E+18;-5.3748E+11;6.56777E+11
1.6438E+18;-5.3748E+11;6.56497E+11
1.6438E+18;-5.3748E+11;6.56049E+11
1.6438E+18;-5.3748E+11;6.55549E+11
1.6438E+18;-5.63442E+11;6.61722E+11
1.6438E+18;-5.63442E+11;6.61254E+11
1.6438E+18;-5.63442E+11;6.60901E+11
1.6438E+18;-5.63442E+11;6.6044E+11
1.6438E+18;-5.63442E+11;6.59947E+11
1.6438E+18;-5.63442E+11;6.59707E+11
1.6438E+18;-5.63442E+11;6.59257E+11
1.6438E+18;-5.63442E+11;6.58944E+11
1.6438E+18;-5.63442E+11;65848326683
1.6438E+18;-5.63442E+11;65797791481
1.6438E+18;-5.63442E+11;6.5769E+11
1.6438E+18;-5.63442E+11;6.57194E+11
1.6438E+18;-5.63442E+11;6.56897E+11
1.6438E+18;-5.63442E+11;6.5642E+11
1.6438E+18;-5.63442E+11;6.55904E+11
1.6438E+18;-5.63442E+11;6.55521E+11
1.6438E+18;-5.63442E+11;6.54994E+11
1.6438E+18;-5.63442E+11;6.54629E+11
1.6438E+18;-5.63442E+11;6.54126E+11
1.6438E+18;-5.63442E+11;6.53604E+11
1.6438E+18;-5.63442E+11;6.53327E+11
1.6438E+18;-5.63442E+11;6529337883
1.6438E+18;-5.63442E+11;6.52869E+11
1.6438E+18;-5.63442E+11;65266828537
1.6438E+18;-5.63442E+11;6.52439E+11
1.6438E+18;-5.63442E+11;65230679512
1.6438E+18;-5.63442E+11;6.51954E+11
1.6438E+18;-5.63442E+11;6.51713E+11
1.6438E+18;-5.63442E+11;6.51316E+11
1.6438E+18;-5.63442E+11;6.50897E+11
1.6438E+18;-5.63442E+11;6.50621E+11
1.6438E+18;-5.63442E+11;6.5019E+11
1.6438E+18;-5.63442E+11;6.4984E+11
1.6438E+18;-5.63442E+11;6.49404E+11
1.6438E+18;-5.63442E+11;6.48947E+11
1.6438E+18;-5.63442E+11;6.48719E+11
