%time;field.yaw_measurement;field.distance_wall
1.6438E+18;-5.40304E+11;6.55737E+11
1.6438E+18;-5.40304E+11;6.55457E+11
1.6438E+18;-5.40304E+11;6.55011E+11
1.6438E+18;-5.63821E+11;6.61709E+11
1.6438E+18;-5.63821E+11;6.61709E+11
1.6438E+18;-5.63821E+11;6.6124E+11
1.6438E+18;-5.63821E+11;6.60888E+11
1.6438E+18;-5.63821E+11;6.60427E+11
1.6438E+18;-5.63821E+11;6.59934E+11
1.6438E+18;-5.63821E+11;6.59695E+11
1.6438E+18;-5.63821E+11;65924539566
1.6438E+18;-5.63821E+11;6.58932E+11
1.6438E+18;-5.63821E+11;6.58472E+11
1.6438E+18;-5.63821E+11;6.57967E+11
1.6438E+18;-5.63821E+11;6.57679E+11
1.6438E+18;-5.63821E+11;6.57183E+11
1.6438E+18;-5.63821E+11;6.56887E+11
1.6438E+18;-5.63821E+11;6.5641E+11
1.6438E+18;-5.63821E+11;6.55895E+11
1.6438E+18;-5.63821E+11;6.55511E+11
1.6438E+18;-5.63821E+11;6.54985E+11
1.6438E+18;-5.63821E+11;6.5462E+11
1.6438E+18;-5.63821E+11;6.54117E+11
1.6438E+18;-5.63821E+11;6.53596E+11
1.6438E+18;-5.63821E+11;6.53319E+11
1.6438E+18;-5.63821E+11;6.52926E+11
1.6438E+18;-5.63821E+11;65286154747
1.6438E+18;-5.63821E+11;6.52661E+11
1.6438E+18;-5.63821E+11;6.52433E+11
1.6438E+18;-5.63821E+11;6.52301E+11
1.6438E+18;-5.63821E+11;6.51948E+11
1.6438E+18;-5.63821E+11;6.51707E+11
1.6438E+18;-5.63821E+11;6.5131E+11
1.6438E+18;-5.63821E+11;6.50892E+11
1.6438E+18;-5.63821E+11;6.50616E+11
1.6438E+18;-5.63821E+11;6.50186E+11
1.6438E+18;-5.63821E+11;6.49837E+11
1.6438E+18;-5.63821E+11;6.494E+11
1.6438E+18;-5.63821E+11;6.48944E+11
1.6438E+18;-5.63821E+11;6.48717E+11
1.6438E+18;-5.63821E+11;6.48332E+11
1.6438E+18;-5.63821E+11;6.48268E+11
1.6438E+18;-5.63821E+11;6.47991E+11
1.6438E+18;-5.63821E+11;6.47706E+11
1.6438E+18;-5.63821E+11;6.47725E+11
1.6438E+18;-5.63821E+11;6.47617E+11
1.6438E+18;-5.63821E+11;6.47778E+11
1.6438E+18;-5.63821E+11;6.47807E+11
1.6438E+18;-5.63821E+11;64777097702
1.6438E+18;-5.63821E+11;64779958725
